2016-08-21 22:22:51,770 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SilverBarsMarketplace:SilverBarsMarketplace:0.0.1-SNAPSHOT @ C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\pom.xml.
2016-08-21 22:22:52,319 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:22:52,337 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
2016-08-21 22:22:52,339 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:22:52,351 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
2016-08-21 22:22:53,470 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SilverBarsMarketplace:SilverBarsMarketplace:0.0.1-SNAPSHOT @ C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\pom.xml.
2016-08-21 22:22:54,481 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:22:54,493 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
2016-08-21 22:22:54,494 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:22:54,507 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
2016-08-21 22:23:10,715 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:23:10,727 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
2016-08-21 22:23:10,729 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:23:10,741 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
2016-08-21 22:28:02,608 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:28:02,627 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
2016-08-21 22:28:02,630 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:28:02,641 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
2016-08-21 22:28:40,348 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:28:40,360 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
2016-08-21 22:28:40,363 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:28:40,376 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
2016-08-21 22:28:53,133 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:28:53,144 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
